Date,Artist,Album,Rating,Notes
2/18/2020,Dorian Electra,Flamboyant (DLX),8-9,repeat!!!
2/19/2020,Caroline Polachek,Pang,8-9,repeat!!!
2/19/2020,clipping.,There Existed an Addiction to Blood,8-9,repeat!!!
2/19/2020,Danny Brown,Atrocity Exhibition,8,get into!!!
2/19/2020,Dwellings,Lavender Town,8-9,repeat!!!
2/19/2020,black midi,Schlagenheim,8-9,repeat!!!
2/20/2020,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",8,repeat!!!
2/20/2020,100 gecs,1000 gecs,8,repeat!!!
2/20/2020,Ariana Grande,"thank u, next",8-9,<3 <3 <3
2/20/2020,Ana Frango Eletrico,Little Electric Chicken Heart,8,repeat!!!
2/20/2020,Alex Cameron,Miami Memory,8-9,repeat!!!
2/21/2020,Denzel Curry,ZUU,8-9,repeat!!!
2/21/2020,Anamanaguchi,[USA],8,
2/22/2020,"billy woods, Kenny Segal",Hiding Places,7-8,
2/22/2020,Jeff Rosenstock,We Cool?,8,repeat!!!
2/22/2020,BTS,MAP OF THE SOUL: 7,7-8,
2/22/2020,SEED Ensemble,Driftglass,8,repeat!!
2/22/2020,Victor Gould,Thoughts Become Things,8,repeat!
2/23/2020,Allison Miller's Boom Tic Boom,Glitter Wolf,8,repeat!!!
2/24/2020,Ari Lennox,Shea Butter Baby,7-8,
2/24/2020,Our Native Daughters,Songs of Our Native Daughters,8,repeat!!!
2/24/2020,iLe,Almadura,7-8,
2/24/2020,Branford Marsalis Quartet,The Secret Between the Shadow and the Soul,7-8,
2/24/2020,Theon Cross,Fyah,8-9,repeat!!! get into!!!
2/25/2020,"Blu, Oh No",A Long Red Hot Los Angeles Summer Night,7,
2/25/2020,BROCKHAMPTON,GINGER,7-8,
2/26/2020,Matana Roberts,COIN COIN Chapter Four: Memphis,9,get into!!!
2/26/2020,Christian Scott aTunde Adjuah,Ancestral Recall,8,
2/26/2020,Kris Davis,Diatom Ribbons,9,repeat!!! and get into!!!
2/27/2020,"J Balvin, Bad Bunny",OASIS,7,zumba music <3
2/27/2020,John Luther Adams,John Luther Adams: Become Desert,7,meditation music
2/27/2020,SAULT,5,9,repeat!!! and get into!!!
2/27/2020,Zoe McPherson,States of Fugue,7-8,
2/28/2020,Priscilla Ermel,Origens Da Luz,7-8,
2/28/2020,Nechochwen,Nechochwen,8,
2/28/2020,Thy Catafalque,Naiv,8-9,repeat!!!
2/28/2020,Yuri Gagarin,The Outskirts of Reality,7-8,
2/29/2020,Nilufer Yanya,Miss Universe,9,<3 <3 <3 <3 <3
2/29/2020,Self Esteem,Compliments Please (DLX),9-10,BUY <3 <3 <3
2/29/2020,Satyr,Locus,7,
3/1/2020,DAISY,Smoke About It,9,Deepti's reccomendation!!!
3/1/2020,Khruangbin and Leon Bridges,Texas Sun,8-9,repeat!!! and get into!!!
3/1/2020,The Good The Bad and The Zugly,Algorithm & Blues,7,
3/2/2020,REOL,Kinjitou,8-9,repeat!!!
3/2/2020,Spanish Love Songs,Brave Faces Everyone,7,kinda complainy alcoholic guy vibe
3/2/2020,Aesmah,Walking off the Horizon,7,
3/2/2020,Agnes Obel,Myopia,7-8,repeat!
3/3/2020,Polaris,The Death of Me,7,
3/3/2020,The Men,Mercy,8,repeat!!
3/3/2020,Psychotic Waltz,The God-Shaped Void,7,
3/3/2020,Loathe,I Let It in and It Took Everything,7,
3/3/2020,Against All Logic,2017 - 2019,8,repeat!!
3/3/2020,Angellore,Rien ne devait mourir,7,
3/4/2020,Moses Sumney,grae: Part 1,8,repeat!
3/4/2020,Lowrider,Refractions,7,
3/4/2020,envy,The Fallen Crimson,7,
3/4/2020,BAMBARA,Stray,7-8,repeat!!
3/4/2020,Dan Deacon,Mystic Familiar,8-9,repeat!!! Deepti may like!!!
3/4/2020,Squarepusher,Be Up A Hello,8,
3/4/2020,Denzel Curry and Kenny Beats,UNLOCKED,8-9,repeat!!!
3/5/2020,Against All Logic,2017 - 2019,8,repeat!!!
3/5/2020,HMLTD,West of Eden,8,repeat!!! research!!!
3/5/2020,King Krule,Man Alive!,8,repeat!!!
3/5/2020,Type O Negative,Bloody Kisses,7-8,repeat!!!
3/6/2020,Bruce Springsteen,The Rising,8,yo get into bruce!!!
3/6/2020,Bruce Springsteen,Devils & Dust,7-8,<3 <3 <3
3/7/2020,Boldy James and The Alchemist,The Price Of Tea In China,8,called the Denzel Curry spot!!!
3/8/2020,City Morgue,CITY MORGUE VOL 2: AS GOOD AS DEAD,7-8,
3/9/2020,Roddy Ricch,Please Excuse Me For Being Antisocial,8,
3/9/2020,Kesha,High Road,4,bailed out @ 'Honey'
3/9/2020,The KLF,The Works,8,
3/9/2020,Rashied Ali and Frank Lowe,Duo Exchange: Complete Sessions,8,
3/10/2020,Grimes,Miss Anthropocene (DLX),8,repeat!!!
3/10/2020,Soakie,Soakie,7,
3/10/2020,Beatrice Dillon,Workaround,7-8,
3/10/2020,Tame Impala,The Slow Rush,8,get into!!!
3/11/2020,"Pauline Oliveros, Stuart Dempster, Panaiotis",Deep Listening,7,
3/11/2020,J Hus,Big Conspiracy,7-8,like Dave!
3/11/2020,Desire Marea,Desire,8,repeat!!!
3/12/2020,Destroyer,Have We Met,8,get into!!!
