Date,Artist,Album,Rating,Notes
43890,Self Esteem,Compliments Please (DLX),9-10,BUY <3 <3 <3
43890,Satyr,Locus,7,
43891,DAISY,Smoke About It,9,Deepti's reccomendation!!!
43891,Khruangbin and Leon Bridges,Texas Sun,8-9,repeat!!! and get into!!!
43891,The Good The Bad and The Zugly,Algorithm & Blues,7,
43892,REOL,Kinjitou,8-9,repeat!!!
43892,Spanish Love Songs,Brave Faces Everyone,7,kinda complainy alcoholic guy vibe
43892,Aesmah,Walking off the Horizon,7,
43892,Agnes Obel,Myopia,7-8,repeat!
43893,Polaris,The Death of Me,7,
43893,The Men,Mercy,8,repeat!!
43893,Psychotic Waltz,The God-Shaped Void,7,
43893,Loathe,I Let It in and It Took Everything,7,
43893,Against All Logic,2017 - 2019,8,repeat!!
43893,Angellore,Rien ne devait mourir,7,
43894,Moses Sumney,grae: Part 1,8,repeat!
43894,Lowrider,Refractions,7,
43894,envy,The Fallen Crimson,7,
43894,BAMBARA,Stray,7-8,repeat!!
43894,Dan Deacon,Mystic Familiar,8-9,repeat!!! Deepti may like!!!
43894,Squarepusher,Be Up A Hello,8,
43894,Denzel Curry and Kenny Beats,UNLOCKED,8-9,repeat!!!
43895,Against All Logic,2017 - 2019,8,repeat!!!
43895,HMLTD,West of Eden,8,repeat!!! research!!!
43895,King Krule,Man Alive!,8,repeat!!!
43895,Type O Negative,Bloody Kisses,7-8,repeat!!!
43896,Bruce Springsteen,The Rising,8,yo get into bruce!!!
43896,Bruce Springsteen,Devils & Dust,7-8,<3 <3 <3
43897,Boldy James and The Alchemist,The Price Of Tea In China,8,called the Denzel Curry spot!!!
43898,City Morgue,CITY MORGUE VOL 2: AS GOOD AS DEAD,7-8,
43899,Roddy Ricch,Please Excuse Me For Being Antisocial,8,
43899,Kesha,High Road,4,bailed out @ 'Honey'
43899,The KLF,The Works,8,
43899,Rashied Ali and Frank Lowe,Duo Exchange: Complete Sessions,8,
43900,Grimes,Miss Anthropocene (DLX),8,repeat!!!
43900,Soakie,Soakie,7,
43900,Beatrice Dillon,Workaround,7-8,
43900,Tame Impala,The Slow Rush,8,get into!!!
43901,"Pauline Oliveros, Stuart Dempster, Panaiotis",Deep Listening,7,
43901,J Hus,Big Conspiracy,7-8,like Dave!
43901,Desire Marea,Desire,8,repeat!!!
43902,Destroyer,Have We Met,8,get into!!!
43902,Gil Scott-Heron and Makaya McCraven,We're New Again - A Reimagining by Makaya McCraven,8,repeat!!!
43902,Buffy Sainte-Marie,Illuminations,7-8,get into!!!
43902,Anna Calvi,Hunted,7-8,repeat!!!
43903,Jon Benjamin - Jazz Daredevil,"Well, I Should Have...*",8,
43903,Chubby and The Gang,Speed Kills,8,repeat!!!
43904,Dixie Chicks,Home,8,
43904,Oliver Nelson and Joe Newman,Main Stem,8-9,repeat!!!
43905,Christian Scott aTunde Adjuah,Ancestral Recall,7-8,
43905,Jeff Parker,Suite for Max Brown,8-9,repeat!!!
43906,Big Thief,U.F.O.F.,7-8,
43906,FKA twigs,MAGDALENE,7-8,repeat!
43906,Lana Del Rey,Norman Fucking Rockwell!,7,
43906,Tanya Tucker,While I'm Livin',6,"bailed at first song when they said, ""like arabs on the track"""
43906,Angel Olsen,All Mirrors,8,repeat!!!
43906,Helado Negro,This Is How You Smile,8,get into!!!
43906,Bad Bunny,X100PRE,7-8,
43906,Solange,When I Get Home,7-8,
43906,Weyes Blood,Rough Trade Session,8,
43907,Weyes Blood,Titanic Rising,9-10,repeat!!!
43907,Fennesz,Agora,8,
43907,(Sandy) Alex G,House of Sugar,8-9,repeat!!! and get into!!!
43907,Dwellings,Lavender Town,8-9,repeat!!! and get into!!!
43907,Bon Iver,"i,i",7-8,
43907,Big Thief,Two Hands,8-9,repeat!!!
43907,Desert Sessions,Vols 11 & 12,9,repeat!!!
43908,Bill Callahan,Shepherd in a Sheepskin Vest,7-8,get into!!!
43908,Brittany Howard,Jaime,8,
43908,glass beach,the first glass beach album,9,repeat!!!
43909,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",8,
43909,Cate le Bon,Reward,7-8,repeat!
43909,"Tyler, The Creator",IGOR,8,repeat!!!
43909,Clairo,Immunity,7-8,
43910,Jamila Woods,LEGACY! LEGACY!,7-8,
43910,Purple Mountains,Purple Mountains,9-10,BUY!!!
